Customer ID,churn_risk,recency_days,frequency,tenure_days,return_rate,avg_basket_quantity,avg_unique_items_per_basket,avg_basket_monetary_value,avg_days_between,std_days_between,purchase_rate_monthly
14819.0,0.8193774532398858,59.0,2.0,283.0,0.0,30.5,20.0,92.17,5.6,35.41750979388585,0.22
15702.0,0.812702348408169,41.0,2.0,247.0,0.0,51.5,15.0,70.195,7.068965517241379,38.06754432629563,0.25
13573.0,0.8068505021340081,14.0,2.0,202.0,0.0,35.5,7.5,69.285,13.357142857142858,49.97785223762337,0.3
15741.0,0.8067047785640759,23.0,2.0,183.0,0.0,35.0,6.0,104.31,14.545454545454545,48.24181513244218,0.33
18203.0,0.8064411613552489,115.0,2.0,296.0,0.0,23.5,13.0,109.765,7.2,36.0,0.21
17233.0,0.8029018885529001,13.0,2.0,289.0,0.0,83.5,16.5,184.99,8.625,48.79036790187179,0.21
12898.0,0.8010391623376452,28.0,2.0,224.0,0.0,117.5,13.5,148.105,7.5,38.242646351945886,0.27
17184.0,0.8009825280659142,134.0,2.0,295.0,0.0,36.5,7.0,99.20500000000001,12.384615384615385,44.65336579613095,0.21
17771.0,0.8005597823125999,1.0,2.0,154.0,0.0,43.0,7.0,70.8,10.928571428571429,40.890970012600924,0.4
15850.0,0.8003740425659006,101.0,2.0,291.0,0.0,62.0,27.5,108.64500000000001,3.3333333333333335,25.166114784235834,0.21
14043.0,0.8001066603995599,56.0,2.0,294.0,0.006578947368421052,76.0,19.5,151.3,5.95,37.631104156003715,0.21
16519.0,0.7992041281414446,50.0,2.0,213.0,0.0,48.0,11.5,111.99,7.409090909090909,34.751716765964495,0.29
16524.0,0.7988320350608784,11.0,2.0,256.0,0.0,129.5,26.5,153.095,4.711538461538462,33.97538701879528,0.24
17898.0,0.7983488369623614,17.0,2.0,132.0,0.0,30.5,11.0,73.56,5.428571428571429,24.876839486903133,0.46
15401.0,0.7980230650772531,17.0,2.0,133.0,0.0,46.5,7.0,108.475,8.923076923076923,32.17261138106329,0.46
16921.0,0.7969884995325783,7.0,2.0,165.0,0.0,60.5,14.5,127.515,4.90625,27.75394116157199,0.37
17705.0,0.7969121957145715,20.0,2.0,141.0,0.0,169.0,8.5,130.19,7.5625,30.250000000000004,0.43
13515.0,0.7967596142729598,14.0,2.0,209.0,0.0,69.0,8.5,187.35000000000002,12.1875,48.75,0.29
15124.0,0.7956262178339304,41.0,2.0,216.0,0.0,114.5,8.0,133.315,11.666666666666666,45.18480570575319,0.28
14464.0,0.7953235899986667,133.0,2.0,192.0,0.0,31.0,2.0,55.5,19.666666666666668,34.06366588218792,0.32
17847.0,0.7950172951402855,80.0,2.0,210.0,0.0,14.5,4.5,64.845,16.125,45.608387386532314,0.29
16648.0,0.7947042380258453,20.0,2.0,155.0,0.0,111.0,9.0,191.07,7.882352941176471,32.49977375486862,0.39
13921.0,0.793616282817922,105.0,2.0,286.0,0.0,51.0,10.5,174.55,9.0,40.24922359499621,0.21
17916.0,0.793215488186109,193.0,2.0,298.0,0.0,45.0,9.5,21.935000000000002,5.777777777777778,24.513035081133648,0.2
15847.0,0.7923229988267667,8.0,2.0,206.0,0.0,59.0,9.5,143.93,11.0,46.66904755831214,0.3
17785.0,0.792183823021439,10.0,2.0,130.0,0.0,80.0,19.0,135.72,3.2432432432432434,19.72787847664287,0.47
13512.0,0.7920833225827224,45.0,2.0,148.0,0.0,81.0,9.0,136.98000000000002,6.0,24.73863375370596,0.41
14253.0,0.7919740263360118,58.0,2.0,188.0,0.0,44.0,6.0,181.70000000000002,11.727272727272727,38.894963450531506,0.32
17960.0,0.7918525999756447,87.0,2.0,206.0,0.0,9.5,5.5,30.650000000000002,11.8,37.31487638998688,0.3
16773.0,0.7917325203682545,1.0,2.0,298.0,0.0,40.5,19.0,124.825,7.815789473684211,48.17976207583647,0.2
17373.0,0.7906519879034519,7.0,2.0,214.0,0.0,99.0,12.0,148.39,8.956521739130435,42.953969295757396,0.28
15878.0,0.7905544580542369,126.0,2.0,298.0,0.0,121.5,25.0,165.385,3.42,24.183051916579924,0.2
17292.0,0.790144498540466,37.0,2.0,144.0,0.0,65.5,7.0,135.875,7.642857142857143,28.59695288462941,0.42
17266.0,0.790034638595212,64.0,2.0,205.0,0.0,45.0,23.0,102.57,3.1333333333333333,21.019038988498025,0.3
12844.0,0.7896487785121462,7.0,2.0,158.0,0.0,49.0,25.5,161.32,3.02,21.354624791833736,0.39
13307.0,0.7886755381464493,52.0,2.0,157.0,0.0,68.0,7.0,129.17000000000002,8.0,28.844410203711913,0.39
18006.0,0.7883717908676959,182.0,2.0,287.0,0.0,46.5,9.0,164.065,5.833333333333333,24.748737341529164,0.21
