Customer ID,churn_risk,CLV_6_month,CLV_12_month,clv_tier,segment,segment_label,revenue_at_risk
12346.0,0.3838218670926932,2.191656212286436,4.427484565952094,Gold,1,Lost,1.6993653926278152
12349.0,0.6350172062183185,-391.141935518139,-789.3194516751788,Bronze,1,Lost,-501.2314330165471
12358.0,0.7205032358754759,-38.78439877247346,-78.16645236151052,Silver,1,Lost,-56.31918186337457
12359.0,0.5816282874815257,-2217.3294217856496,-4478.518571269856,Bronze,1,Lost,-2604.8330870618956
12360.0,0.6237310953061642,-240.58551280163812,-485.1344933765049,Bronze,1,Lost,-302.59346892452845
12361.0,0.7722073779287983,-80.89934418535483,-163.1769027854482,Silver,1,Lost,-126.00640823849338
12369.0,0.6201693746466949,-271.28862087696024,-546.228208670723,Bronze,0,At Risk,-338.75400658570663
12370.0,0.6806248398265403,-24.074458756985464,-48.488492685876864,Silver,1,Lost,-33.00247256775531
12371.0,0.6198912919903865,5.934427960669568e-11,,,1,Lost,0.0
12373.0,0.6757580096274275,-37.529560658933015,-75.59274320840211,Silver,1,Lost,-51.08240169278705
12374.0,0.28849465379384565,7.600754297574025e-11,,,0,At Risk,0.0
12379.0,0.32216993099601465,,,,1,Lost,0.0
12380.0,0.4923643915703001,-2626.441297218907,-5299.267750804588,Bronze,0,At Risk,-2609.1707418930137
12388.0,0.7347290550937395,-185.60567830012457,-373.40245918561067,Bronze,1,Lost,-274.34963600712234
12389.0,0.7110482119033952,-65.47922757795722,-131.8621338411923,Silver,1,Lost,-93.76033448554597
12391.0,0.5805070209983477,-1934.4752838216448,-3904.188428975232,Bronze,0,At Risk,-2266.4087943206314
12395.0,0.6013539041419649,-60.030588839442316,-120.80595144628326,Silver,0,At Risk,-72.64713054580709
12399.0,0.7454443984699388,-64.85498789960937,-130.58764596452505,Silver,1,Lost,-97.3458291936307
12402.0,0.6897548797100358,-817.7323591366534,-1650.4884438489194,Bronze,1,Lost,-1138.4324580498155
12406.0,0.6455555877182939,-103.13190006627435,-207.7837876526749,Silver,1,Lost,-134.13598515645572
12408.0,0.5637620295821673,-325.1782855884979,-654.0566523319062,Bronze,1,Lost,-368.7323057803534
12409.0,0.5830297938037745,-0.3991350656704572,-0.8038808031909883,Gold,0,At Risk,-0.4686864589272546
12412.0,0.5848217133054141,-624.347506030071,-1257.591536594742,Bronze,1,Lost,-735.4668370697253
12414.0,0.6426390995194917,,,,1,Lost,0.0
12415.0,0.5784493733599816,-296.5823652846107,-596.9217183216297,Bronze,0,At Risk,-345.2889939081101
12417.0,0.4303553259934396,2973.02543584378,6007.018627211824,Gold,1,Lost,2585.1524595624087
