Customer ID,recency_days,frequency,tenure_days,gross_spend,tenure_months,purchase_rate_monthly,avg_basket_quantity,avg_unique_items_per_basket,avg_basket_monetary_value,purchased_quantity,returned_quantity,return_events,return_value,return_rate,avg_days_between,std_days_between,lifetimes_frequency,lifetimes_recency,lifetimes_T,lifetimes_monetary_value
12346.0,94.0,11.0,290.0,372.86,9.526938239159001,1.15,6.363636363636363,3.0,33.89636363636364,70.0,15.0,2.0,419.1,0.21428571428571427,6.0,21.72407613388813,8.0,198.0,291.0,1e-10
12349.0,135.0,2.0,154.0,1268.52,5.059132720105125,0.4,237.0,23.5,634.26,474.0,5.0,1.0,24.15,0.010548523206751054,0.391304347826087,2.6539552107881486,2.0,165.0,301.0,634.26
12358.0,115.0,2.0,296.0,1697.93,9.724047306176084,0.21,295.0,17.0,848.9649999999999,590.0,0.0,0.0,0.0,0.0,5.323529411764706,31.041243910794094,1.0,181.0,297.0,268.1
12359.0,100.0,5.0,299.0,2012.03,9.822601839684625,0.51,175.4,17.2,402.40600000000006,877.0,216.0,2.0,94.0,0.24629418472063855,2.3176470588235296,13.22984699611512,5.0,199.0,300.0,231.46800000000002
12360.0,128.0,3.0,220.0,780.04,7.227332457293035,0.42,252.0,15.0,260.0133333333333,756.0,1.0,1.0,40.0,0.0013227513227513227,2.0681818181818183,10.15323920651818,2.0,92.0,221.0,311.02
12361.0,27.0,3.0,247.0,321.35,8.114323258869907,0.37,48.0,6.333333333333333,107.11666666666667,144.0,0.0,0.0,0.0,0.0,12.166666666666666,35.480317658900276,2.0,220.0,248.0,106.075
12369.0,14.0,2.0,206.0,1607.8,6.767411300919842,0.3,577.5,42.0,803.9,1155.0,0.0,0.0,0.0,0.0,2.3132530120481927,21.074737918020553,1.0,192.0,207.0,1259.48
12370.0,189.0,3.0,233.0,774.62,7.654402102496714,0.39,84.0,11.666666666666666,258.20666666666665,252.0,0.0,0.0,0.0,0.0,1.2941176470588236,7.545937746270389,1.0,44.0,234.0,211.66
12371.0,210.0,2.0,210.0,607.6800000000001,6.898817345597897,0.29,126.0,17.0,303.84000000000003,252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.0,1e-10
12373.0,189.0,2.0,238.0,763.0500000000001,7.818659658344283,0.26,159.5,18.5,381.52500000000003,319.0,0.0,0.0,0.0,0.0,1.3611111111111112,8.166666666666664,1.0,49.0,239.0,325.15
